Name,Country,Description,Launch_Date,Founders,Revenue_Year_1,Revenue_Year_2,Revenue_Year_3,Current_Status
Core SaaS Labs 819,USA,A leading USA-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-07-13,"David Chen, Li Wei",$116k,$419k,$8.7M,Acquired
Smart EdTech Flow 820,France,A leading France-based EdTech startup specializing in scalable and innovative solutions for the global market.,2013-10-01,"Priya Sharma, Kavita Reddy, Michael O'Connor",$100k,$2.0M,$6.7M,Successful
NextGen SaaS Network 821,Canada,A leading Canada-based SaaS startup specializing in scalable and innovative solutions for the global market.,2013-06-17,Priya Sharma,$332k,$998k,$6.7M,Successful
Apex BioTech Point 822,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2021-06-09,Kavita Reddy,$479k,$214k,$1.0M,Failed
Smart FinTech Hub 823,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,2014-01-15,"Sanjay Gupta, Kavita Reddy, Sarah Jenkins",$183k,$825k,$13.7M,Acquired
NextGen FinTech Flow 824,Japan,A leading Japan-based FinTech startup specializing in scalable and innovative solutions for the global market.,2011-02-03,Vikram Singh,$175k,$149k,$5.5M,Successful
Core SaaS Network 825,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,2016-12-16,Sarah Jenkins,$92k,$1.4M,$7.5M,Successful
Apex AI/ML Nexus 826,USA,A leading USA-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2022-05-05,"David Chen, Anjali Rao, Priya Sharma",$421k,$222k,$1.5M,Successful
Quantum AI/ML Labs 827,Singapore,A leading Singapore-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2019-05-21,"Arjun Mehta, Elena Rossi, Vikram Singh",$430k,$905k,$13.5M,Successful
Smart E-commerce Technologies 828,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2021-09-17,"Vikram Singh, Arjun Mehta",$476k,$192k,$5.0M,Successful
Smart EdTech Nexus 829,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2014-08-22,Rohan Das,$334k,$754k,$12.0M,Acquired
Smart BioTech Point 830,Brazil,A leading Brazil-based BioTech startup specializing in scalable and innovative solutions for the global market.,2018-06-17,Priya Sharma,$204k,$1.7M,$1.3M,Successful
Global CleanTech Wave 831,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2015-10-09,"Sanjay Gupta, Rohan Das",$100k,$365k,$3.7M,Successful
Apex AgriTech Network 832,Australia,A leading Australia-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2022-09-13,"Kavita Reddy, David Chen, Arjun Mehta",$256k,$1.1M,$7.2M,Successful
Smart EdTech Systems 833,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2020-10-01,"Sarah Jenkins, Emma Wilson, Michael O'Connor",$151k,$1.5M,$10.4M,Successful
Apex EdTech Hub 834,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,2010-10-24,Michael O'Connor,$44k,$1.0M,$14.1M,Successful
Global SaaS Nexus 835,Israel,A leading Israel-based SaaS startup specializing in scalable and innovative solutions for the global market.,2014-02-03,"Sarah Jenkins, Michael O'Connor, Li Wei",$6k,$1.6M,$8.5M,Successful
NextGen AgriTech Point 836,Israel,A leading Israel-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2012-08-27,Michael O'Connor,$45k,$812k,$1.0M,Failed
NextGen FinTech Point 837,France,A leading France-based FinTech startup specializing in scalable and innovative solutions for the global market.,2014-04-04,"Emma Wilson, Kavita Reddy",$137k,$571k,$13.0M,Successful
Prime FinTech Technologies 838,UAE,A leading UAE-based FinTech startup specializing in scalable and innovative solutions for the global market.,2012-02-06,Elena Rossi,$489k,$1.6M,$2.7M,Failed
Smart Logistics Network 839,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,2022-07-28,"Kavita Reddy, Michael O'Connor, Priya Sharma",$166k,$358k,$1.7M,Successful
Global Logistics Labs 840,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-06-28,"Sanjay Gupta, Aisha Khan, Michael O'Connor",$380k,$737k,$4.0M,Acquired
Apex E-commerce Wave 841,Israel,A leading Israel-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2014-04-01,"Sanjay Gupta, Aisha Khan, David Chen",$291k,$615k,$1.2M,Successful
Global AgriTech Hub 842,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2016-01-14,"Aisha Khan, Emma Wilson",$136k,$848k,$13.0M,Successful
Zenith SaaS Network 843,Singapore,A leading Singapore-based SaaS startup specializing in scalable and innovative solutions for the global market.,2019-10-09,"Sarah Jenkins, Arjun Mehta, Kavita Reddy",$332k,$1.5M,$3.8M,Acquired
Quantum HealthTech Labs 844,France,A leading France-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2019-05-28,"Arjun Mehta, Li Wei",$380k,$2.0M,$15.0M,Successful
Apex SaaS Labs 845,India,A leading India-based SaaS startup specializing in scalable and innovative solutions for the global market.,2017-09-01,"Sarah Jenkins, Elena Rossi",$111k,$279k,$6.9M,Acquired
Core Logistics Systems 846,Singapore,A leading Singapore-based Logistics startup specializing in scalable and innovative solutions for the global market.,2012-01-20,Arjun Mehta,$258k,$1.0M,$6.2M,Successful
Core FinTech Technologies 847,Japan,A leading Japan-based FinTech startup specializing in scalable and innovative solutions for the global market.,2014-01-06,"Kavita Reddy, Sanjay Gupta",$164k,$613k,$3.1M,Failed
Apex EdTech Hub 848,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,2018-08-15,"Elena Rossi, Priya Sharma, Anjali Rao",$403k,$1.7M,$8.0M,Successful
Elite SaaS Network 849,UAE,A leading UAE-based SaaS startup specializing in scalable and innovative solutions for the global market.,2016-01-17,"Elena Rossi, Priya Sharma",$10k,$155k,$9.1M,Successful
Apex HealthTech Hub 850,UAE,A leading UAE-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2014-02-02,"Anjali Rao, Aisha Khan, Michael O'Connor",$305k,$1.2M,$2.6M,Acquired
Smart E-commerce Hub 851,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2010-08-10,"Rohan Das, Elena Rossi, Arjun Mehta",$311k,$473k,$6.0M,Acquired
Elite PropTech Technologies 852,Israel,A leading Israel-based PropTech startup specializing in scalable and innovative solutions for the global market.,2018-12-14,"Li Wei, Sarah Jenkins",$318k,$1.4M,$10.9M,Successful
Zenith EdTech Labs 853,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,2018-04-27,Aisha Khan,$361k,$1.3M,$1.6M,Successful
Smart Logistics Solutions 854,Canada,A leading Canada-based Logistics startup specializing in scalable and innovative solutions for the global market.,2014-04-28,"Aisha Khan, Arjun Mehta, Kavita Reddy",$42k,$1.8M,$11.1M,Successful
Smart SaaS Wave 855,Japan,A leading Japan-based SaaS startup specializing in scalable and innovative solutions for the global market.,2017-09-14,Anjali Rao,$209k,$1.0M,$13.5M,Successful
Prime AI/ML Nexus 856,UK,A leading UK-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2015-03-01,Arjun Mehta,$455k,$177k,$4.7M,Successful
Zenith BioTech Network 857,Canada,A leading Canada-based BioTech startup specializing in scalable and innovative solutions for the global market.,2016-05-26,"Vikram Singh, Sarah Jenkins",$422k,$1.1M,$1.5M,Acquired
Zenith E-commerce Point 858,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2014-08-26,Sarah Jenkins,$228k,$1.6M,$6.1M,Failed
Core AI/ML Flow 859,UAE,A leading UAE-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2017-02-16,"Michael O'Connor, Sarah Jenkins, Aisha Khan",$488k,$314k,$6.5M,Successful
Smart EdTech Network 860,Australia,A leading Australia-based EdTech startup specializing in scalable and innovative solutions for the global market.,2013-05-16,"Anjali Rao, Michael O'Connor",$218k,$2.0M,$14.0M,Successful
Smart PropTech Systems 861,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,2021-03-01,"Michael O'Connor, Sarah Jenkins",$397k,$350k,$10.8M,Successful
Core HealthTech Hub 862,Japan,A leading Japan-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-08-01,"Kavita Reddy, Vikram Singh",$425k,$208k,$10.9M,Successful
Apex HealthTech Technologies 863,Israel,A leading Israel-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2020-08-23,"Li Wei, Kavita Reddy, Michael O'Connor",$351k,$349k,$9.4M,Failed
Elite HealthTech Flow 864,Australia,A leading Australia-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-07-20,Kavita Reddy,$121k,$688k,$5.7M,Successful
Zenith FinTech Solutions 865,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,2022-02-11,Priya Sharma,$63k,$1.3M,$5.9M,Failed
Quantum EdTech Wave 866,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,2021-12-07,"Anjali Rao, Sarah Jenkins",$226k,$1.4M,$10.5M,Failed
Apex BioTech Wave 867,Singapore,A leading Singapore-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-12-09,"David Chen, Emma Wilson, Arjun Mehta",$309k,$747k,$10.4M,Successful
Core Cybersecurity Nexus 868,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2014-05-22,"Michael O'Connor, Anjali Rao, Kavita Reddy",$375k,$1.6M,$8.1M,Acquired
NextGen HealthTech Wave 869,Israel,A leading Israel-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2020-06-15,Sanjay Gupta,$192k,$1.7M,$11.9M,Successful
Smart SaaS Solutions 870,Israel,A leading Israel-based SaaS startup specializing in scalable and innovative solutions for the global market.,2018-11-25,"Sanjay Gupta, Vikram Singh, Arjun Mehta",$337k,$554k,$5.2M,Successful
NextGen BioTech Technologies 871,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,2012-03-02,Elena Rossi,$108k,$976k,$13.1M,Acquired
Quantum AgriTech Labs 872,Canada,A leading Canada-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-06-05,David Chen,$72k,$737k,$4.0M,Successful
Zenith HealthTech Network 873,Israel,A leading Israel-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2018-01-08,"David Chen, Aisha Khan, Michael O'Connor",$333k,$1.5M,$2.3M,Acquired
Smart SaaS Flow 874,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,2012-03-12,Rohan Das,$68k,$418k,$1.5M,Failed
Nova CleanTech Systems 875,Israel,A leading Israel-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2020-02-13,Anjali Rao,$469k,$395k,$11.6M,Successful
Global PropTech Point 876,UAE,A leading UAE-based PropTech startup specializing in scalable and innovative solutions for the global market.,2013-01-11,David Chen,$369k,$1.4M,$8.7M,Failed
Elite SaaS Hub 877,Brazil,A leading Brazil-based SaaS startup specializing in scalable and innovative solutions for the global market.,2015-05-19,"Sarah Jenkins, Priya Sharma, Michael O'Connor",$147k,$1.6M,$9.3M,Successful
Global CleanTech Systems 878,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2021-11-22,Elena Rossi,$484k,$799k,$9.0M,Successful
Elite AgriTech Technologies 879,UAE,A leading UAE-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2016-11-19,Michael O'Connor,$7k,$990k,$3.9M,Successful
Core BioTech Solutions 880,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2018-02-26,"Rohan Das, Elena Rossi",$15k,$965k,$7.1M,Successful
Core EdTech Flow 881,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2010-04-19,Anjali Rao,$378k,$1.6M,$4.2M,Acquired
NextGen AgriTech Wave 882,Germany,A leading Germany-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2014-12-02,Michael O'Connor,$447k,$1.7M,$13.0M,Successful
Global Cybersecurity Point 883,USA,A leading USA-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2015-02-17,"Vikram Singh, Rohan Das, Arjun Mehta",$348k,$1.4M,$7.4M,Successful
Quantum CleanTech Network 884,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2014-01-01,"Sarah Jenkins, Michael O'Connor, Sanjay Gupta",$487k,$1.8M,$6.7M,Successful
Prime EdTech Point 885,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,2021-01-28,Sarah Jenkins,$225k,$123k,$2.9M,Successful
Quantum CleanTech Labs 886,Canada,A leading Canada-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2021-05-25,"Li Wei, David Chen, Aisha Khan",$199k,$608k,$6.3M,Successful
Quantum PropTech Nexus 887,France,A leading France-based PropTech startup specializing in scalable and innovative solutions for the global market.,2010-07-25,Rohan Das,$295k,$490k,$14.0M,Successful
Zenith Cybersecurity Wave 888,USA,A leading USA-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2022-01-04,"Sarah Jenkins, Michael O'Connor",$218k,$563k,$12.4M,Acquired
Elite SaaS Solutions 889,UK,A leading UK-based SaaS startup specializing in scalable and innovative solutions for the global market.,2013-12-28,"Priya Sharma, Vikram Singh, Emma Wilson",$212k,$1.5M,$12.4M,Successful
Global HealthTech Systems 890,Singapore,A leading Singapore-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2010-09-28,"Anjali Rao, Li Wei, Rohan Das",$371k,$2.0M,$7.9M,Successful
Apex SaaS Wave 891,Australia,A leading Australia-based SaaS startup specializing in scalable and innovative solutions for the global market.,2017-02-21,"Priya Sharma, Rohan Das, Li Wei",$463k,$721k,$2.3M,Acquired
Core EdTech Labs 892,Singapore,A leading Singapore-based EdTech startup specializing in scalable and innovative solutions for the global market.,2020-03-23,Vikram Singh,$465k,$445k,$7.4M,Successful
Zenith HealthTech Wave 893,USA,A leading USA-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-03-08,Sanjay Gupta,$451k,$1.1M,$1.8M,Successful
Smart Logistics Labs 894,Singapore,A leading Singapore-based Logistics startup specializing in scalable and innovative solutions for the global market.,2016-11-09,"Priya Sharma, Li Wei, David Chen",$409k,$787k,$13.7M,Successful
Quantum SaaS Network 895,India,A leading India-based SaaS startup specializing in scalable and innovative solutions for the global market.,2021-02-22,Sarah Jenkins,$469k,$276k,$2.0M,Successful
Smart CleanTech Nexus 896,USA,A leading USA-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2014-09-04,Rohan Das,$202k,$829k,$5.7M,Failed
NextGen Cybersecurity Labs 897,Japan,A leading Japan-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2012-07-02,Elena Rossi,$291k,$1.6M,$3.0M,Successful
Apex PropTech Flow 898,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,2020-11-18,"David Chen, Emma Wilson",$462k,$512k,$7.4M,Failed
Quantum PropTech Network 899,France,A leading France-based PropTech startup specializing in scalable and innovative solutions for the global market.,2012-11-06,Emma Wilson,$428k,$682k,$4.0M,Failed
Smart PropTech Systems 900,Canada,A leading Canada-based PropTech startup specializing in scalable and innovative solutions for the global market.,2016-04-28,Priya Sharma,$428k,$1.9M,$2.5M,Successful
Quantum BioTech Systems 901,Germany,A leading Germany-based BioTech startup specializing in scalable and innovative solutions for the global market.,2010-11-26,"Elena Rossi, Priya Sharma",$426k,$952k,$2.4M,Successful
Prime AgriTech Systems 902,Singapore,A leading Singapore-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2016-03-22,Elena Rossi,$461k,$726k,$4.3M,Successful
Zenith SaaS Wave 903,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,2020-11-10,Aisha Khan,$203k,$871k,$3.4M,Successful
Quantum Cybersecurity Wave 904,Brazil,A leading Brazil-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2018-06-19,"Li Wei, Rohan Das, Vikram Singh",$300k,$1.3M,$5.3M,Successful
NextGen CleanTech Flow 905,India,A leading India-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2011-04-27,"Arjun Mehta, Rohan Das",$86k,$2.0M,$12.8M,Successful
Smart CleanTech Flow 906,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2021-09-07,"Emma Wilson, Aisha Khan, Vikram Singh",$259k,$950k,$12.1M,Successful
Prime Logistics Systems 907,South Korea,A leading South Korea-based Logistics startup specializing in scalable and innovative solutions for the global market.,2022-01-07,Emma Wilson,$458k,$1.5M,$6.3M,Successful
Core EdTech Nexus 908,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2020-06-05,"Elena Rossi, Sarah Jenkins, Kavita Reddy",$222k,$1.9M,$1.0M,Successful
Nova E-commerce Technologies 909,India,A leading India-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2013-10-08,"David Chen, Sarah Jenkins",$137k,$1.4M,$4.3M,Successful
Smart SaaS Hub 910,Canada,A leading Canada-based SaaS startup specializing in scalable and innovative solutions for the global market.,2019-04-01,Vikram Singh,$114k,$362k,$3.6M,Successful
Elite Logistics Technologies 911,UAE,A leading UAE-based Logistics startup specializing in scalable and innovative solutions for the global market.,2021-10-19,"Michael O'Connor, Sarah Jenkins, Arjun Mehta",$261k,$731k,$3.2M,Failed
Apex BioTech Wave 912,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2019-12-20,Sarah Jenkins,$178k,$523k,$1.2M,Acquired
Smart PropTech Technologies 913,Singapore,A leading Singapore-based PropTech startup specializing in scalable and innovative solutions for the global market.,2019-04-04,Rohan Das,$233k,$1.9M,$13.6M,Acquired
Quantum CleanTech Systems 914,Israel,A leading Israel-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2018-02-19,Michael O'Connor,$127k,$944k,$2.1M,Successful
Smart AI/ML Wave 915,UAE,A leading UAE-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2012-04-26,"Kavita Reddy, Rohan Das, Aisha Khan",$395k,$1.3M,$12.8M,Successful
NextGen FinTech Systems 916,UAE,A leading UAE-based FinTech startup specializing in scalable and innovative solutions for the global market.,2010-11-18,"Aisha Khan, Li Wei",$495k,$208k,$8.1M,Failed
Zenith CleanTech Technologies 917,USA,A leading USA-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2016-01-06,"Anjali Rao, Vikram Singh, Li Wei",$353k,$1.1M,$4.9M,Acquired
Apex AI/ML Technologies 918,UK,A leading UK-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2016-10-18,"Michael O'Connor, David Chen, Arjun Mehta",$161k,$112k,$14.6M,Successful
Elite FinTech Solutions 919,Israel,A leading Israel-based FinTech startup specializing in scalable and innovative solutions for the global market.,2022-04-20,"Sanjay Gupta, Aisha Khan, Anjali Rao",$382k,$266k,$3.4M,Acquired
NextGen CleanTech Wave 920,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2021-03-25,"Vikram Singh, Elena Rossi",$89k,$696k,$7.4M,Successful
Core Logistics Point 921,UK,A leading UK-based Logistics startup specializing in scalable and innovative solutions for the global market.,2018-10-21,David Chen,$461k,$1.2M,$14.3M,Successful
Nova AgriTech Technologies 922,Canada,A leading Canada-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2022-07-17,"Vikram Singh, Aisha Khan, Sanjay Gupta",$489k,$1.4M,$2.4M,Acquired
Nova CleanTech Network 923,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2013-01-04,"Michael O'Connor, Sarah Jenkins",$156k,$1.7M,$7.8M,Successful
Quantum CleanTech Labs 924,Australia,A leading Australia-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2017-10-19,Kavita Reddy,$164k,$772k,$13.1M,Successful
Smart E-commerce Systems 925,France,A leading France-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2020-10-27,Sarah Jenkins,$157k,$1.5M,$6.7M,Successful
Prime E-commerce Wave 926,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2017-02-23,Emma Wilson,$492k,$1.7M,$4.1M,Failed
Zenith EdTech Point 927,Singapore,A leading Singapore-based EdTech startup specializing in scalable and innovative solutions for the global market.,2018-08-20,"Kavita Reddy, Sarah Jenkins",$93k,$751k,$3.6M,Failed
Core CleanTech Point 928,India,A leading India-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2011-09-25,"Sarah Jenkins, Sanjay Gupta",$175k,$1.9M,$7.8M,Successful
Elite Cybersecurity Systems 929,India,A leading India-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2015-10-20,"Elena Rossi, Rohan Das",$135k,$654k,$2.9M,Successful
Nova Logistics Systems 930,France,A leading France-based Logistics startup specializing in scalable and innovative solutions for the global market.,2021-03-02,Anjali Rao,$435k,$1.6M,$11.4M,Acquired
Quantum Cybersecurity Systems 931,Canada,A leading Canada-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2021-03-03,"Priya Sharma, Sanjay Gupta",$187k,$160k,$10.5M,Successful
Zenith E-commerce Point 932,Canada,A leading Canada-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-12-06,"Elena Rossi, Arjun Mehta",$454k,$1.4M,$4.3M,Successful
Zenith E-commerce Network 933,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2022-07-28,"Kavita Reddy, Emma Wilson, David Chen",$164k,$971k,$3.4M,Acquired
Core AgriTech Point 934,USA,A leading USA-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2016-06-25,"Sanjay Gupta, Anjali Rao",$247k,$2.0M,$8.0M,Successful
Elite AI/ML Solutions 935,Australia,A leading Australia-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2021-08-04,"Li Wei, David Chen, Michael O'Connor",$239k,$787k,$5.0M,Successful
Global AgriTech Network 936,UK,A leading UK-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2016-12-21,"Kavita Reddy, Aisha Khan",$58k,$1.0M,$7.1M,Successful
Zenith HealthTech Technologies 937,India,A leading India-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2014-10-08,"Michael O'Connor, Sarah Jenkins",$294k,$1.8M,$3.8M,Successful
Apex EdTech Point 938,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2013-02-08,"Anjali Rao, Emma Wilson, Arjun Mehta",$72k,$1.8M,$13.0M,Acquired
Global EdTech Flow 939,Australia,A leading Australia-based EdTech startup specializing in scalable and innovative solutions for the global market.,2019-02-07,"Michael O'Connor, Li Wei, Sarah Jenkins",$407k,$630k,$6.6M,Successful
Quantum HealthTech Point 940,Singapore,A leading Singapore-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-12-09,"Rohan Das, Vikram Singh, Michael O'Connor",$30k,$522k,$12.7M,Acquired
Nova HealthTech Flow 941,France,A leading France-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2022-01-01,"David Chen, Emma Wilson, Anjali Rao",$53k,$1.1M,$8.2M,Successful
NextGen HealthTech Wave 942,Canada,A leading Canada-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2015-03-15,Sarah Jenkins,$258k,$491k,$7.1M,Successful
Smart SaaS Labs 943,South Korea,A leading South Korea-based SaaS startup specializing in scalable and innovative solutions for the global market.,2011-05-28,"Li Wei, Anjali Rao",$281k,$1.5M,$6.9M,Failed
Core CleanTech Wave 944,Australia,A leading Australia-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2021-10-07,Emma Wilson,$43k,$479k,$4.5M,Successful
Core Cybersecurity Technologies 945,Australia,A leading Australia-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2014-01-05,"Sanjay Gupta, Emma Wilson, Kavita Reddy",$426k,$904k,$6.3M,Successful
NextGen Cybersecurity Flow 946,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2015-03-27,"David Chen, Arjun Mehta",$384k,$293k,$8.9M,Acquired
Elite BioTech Nexus 947,Brazil,A leading Brazil-based BioTech startup specializing in scalable and innovative solutions for the global market.,2020-02-23,"Anjali Rao, Aisha Khan, Kavita Reddy",$377k,$621k,$1.9M,Acquired
Smart AgriTech Flow 948,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2011-12-10,"Vikram Singh, Aisha Khan, Li Wei",$179k,$1.7M,$13.5M,Failed
Global E-commerce Flow 949,France,A leading France-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2015-05-01,"Rohan Das, Aisha Khan",$227k,$1.2M,$11.4M,Successful
Global E-commerce Wave 950,Japan,A leading Japan-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2013-04-28,"Li Wei, Michael O'Connor",$134k,$933k,$11.7M,Successful
Global PropTech Labs 951,Japan,A leading Japan-based PropTech startup specializing in scalable and innovative solutions for the global market.,2010-01-23,Rohan Das,$385k,$1.1M,$13.3M,Acquired
Core Cybersecurity Network 952,South Korea,A leading South Korea-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2016-06-01,"Arjun Mehta, Anjali Rao, Michael O'Connor",$178k,$116k,$13.9M,Successful
Smart Logistics Wave 953,Israel,A leading Israel-based Logistics startup specializing in scalable and innovative solutions for the global market.,2019-04-04,Sarah Jenkins,$385k,$652k,$8.1M,Successful
Zenith HealthTech Nexus 954,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2020-11-23,Rohan Das,$500k,$1.3M,$6.4M,Successful
Global E-commerce Technologies 955,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2014-10-14,"Aisha Khan, Sanjay Gupta, Arjun Mehta",$124k,$639k,$4.4M,Successful
Smart CleanTech Point 956,Singapore,A leading Singapore-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2012-12-17,Anjali Rao,$87k,$782k,$2.4M,Failed
Nova CleanTech Flow 957,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2011-01-27,Kavita Reddy,$18k,$1.5M,$4.5M,Successful
Global Logistics Wave 958,South Korea,A leading South Korea-based Logistics startup specializing in scalable and innovative solutions for the global market.,2022-09-18,Sarah Jenkins,$281k,$1.8M,$5.3M,Acquired
Nova Cybersecurity Solutions 959,Singapore,A leading Singapore-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2017-01-08,"Elena Rossi, Aisha Khan, Rohan Das",$133k,$300k,$13.3M,Successful
NextGen HealthTech Technologies 960,USA,A leading USA-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2017-12-24,Priya Sharma,$120k,$1.5M,$11.0M,Acquired
NextGen CleanTech Solutions 961,India,A leading India-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2015-01-12,Aisha Khan,$199k,$1.7M,$13.5M,Successful
NextGen EdTech Labs 962,Brazil,A leading Brazil-based EdTech startup specializing in scalable and innovative solutions for the global market.,2010-03-21,"Li Wei, Arjun Mehta",$238k,$918k,$8.1M,Successful
Smart SaaS Technologies 963,Singapore,A leading Singapore-based SaaS startup specializing in scalable and innovative solutions for the global market.,2010-08-13,Michael O'Connor,$181k,$321k,$8.6M,Acquired
Quantum HealthTech Hub 964,Brazil,A leading Brazil-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2021-09-01,"Arjun Mehta, Aisha Khan",$454k,$1.6M,$3.6M,Successful
